"area","rooms","property_sub_type","median_sales_amount_2022","median_sales_area_sqm_2022","median_sales_per_sqm_2022","median_rent_2022","median_rent_area_sqm_2022","median_rent_per_sqm_2022","no_of_transactions_2022","gross_rental_yield_2022","yoy_growth_2021","yoy_growth_2020","yoy_growth_2019","yoy_growth_2018","yoy_growth_2017","yoy_growth_2016"
"MUDON","3 B/R","Flat","1842000.0","137.79","13368.17","92000.0","137.77","667.779632721202","8","0.04995295815536284","-0.034521043",,,,,
"SOBHA HEARTLAND","2 B/R","Flat","1806828.0","110.13","16406.32","84772.12","109.0","777.725871559633","476","0.047404040439651934","-0.096467614","0.18428016","0.073748946","0.05027306","0.04138112","0.050026655"
"DUBAI MARINA","1 B/R","Flat","1175000.0","76.26","15407.814","68000.0","80.0","850.0","1026","0.05516681178800175","0.20538914","0.3915974","0.18347418","-0.017880261","-0.040991902","-0.047180712"
"JUMEIRAH BEACH RESIDENCE","2 B/R","Flat","2000000.0","129.0","15503.876","105000.0","129.0","813.953488372093","224","0.05249999997436523","-0.0065238476","-0.17664927","0.3378811","0.18048334","-0.1384564","-0.03622538"
"ARJAN","2 B/R","Flat","973000.0","98.16","9912.388","59000.0","109.0","541.2844036697247","321","0.05460686368489142","0.056141376","0.076485276","0.019621134","0.08517444","-0.038318217","-0.071947396"
"THE LAKES","2 B/R","Villa",,,,,,,,,,,,,,
"DUBAI STUDIO CITY","1 B/R","Flat","520000.0","72.45","7177.364","40000.0","69.0","579.7101449275362","18","0.08076922997667664","-0.21117896","-0.15189666","-0.1789096","-0.3934697","-0.36944473","-0.3960511"
"BARSHA HEIGHTS","2 B/R","Flat","920000.0","121.45","7575.134","67760.0","121.0","560.0","21","0.07392608706245778","-0.008346081","0.13441837","-0.24947566","-0.24505556","-0.35111284","-0.4134736"
"DUBAI INVESTMENT PARK FIRST","5 B/R","Villa",,,,,,,,,,,,,,
"EMIRATE LIVING","4 B/R","Villa","3250000.0","346.51","9379.238","160000.0","348.6","458.97877223178426","41","0.048935612729802055","0.19758976","0.5820402","0.51987386","0.2943716","0.15900588","0.16201949"
"Al Hebiah Fourth","3 B/R","Villa","1848000.0","140.5","13153.025",,,,"38",,"0.0078293085",,,,,
"SERENA","3 B/R","Villa","1950000.0","259.93","7502.02","105000.0","255.0","411.7647058823529","100","0.05488717769485255","0.09661138","0.11477232","0.089868546","0.09476411","-0.052875698",
"MEYDAN AVENUE","2 B/R","Flat","1547920.0","142.54","10859.549","95000.0","142.58","666.2926076588582","59","0.06135545943982828","0.04929006","0.14636612","0.19446921","-0.031750083","-0.15588754","-0.017033756"
"Zaabeel Second","3 B/R","Flat","3671888.0","164.93","22263.312","240000.0","164.98","1454.7217844587224","54","0.06534165948839475","-0.045173764","-0.048774064","0.076606154","0.054843187","0.110247254","-0.06965166"
"DUBAI HEALTHCARE CITY - PHASE 1","1 B/R","Flat",,,,,,,,,,,,,,
"Al Kifaf","2 B/R","Flat","2205777.0","146.11","15096.6875","110000.0","146.04","753.2182963571624","171","0.04989295144098084","0.0473814","0.13262904","0.10670948","0.14328074",,
"DUBAI WATER CANAL","1 B/R","Flat","1806000.0","82.19","21973.475",,,,"302",,,,,,,
"MBR DISTRICT 7","4 B/R","Villa","4235000.0","330.02","12832.556",,,,"4",,"0.48309743",,,,,
"Wadi Al Safa 5","4 B/R","Villa","3174270.0","300.0","10580.9",,,,"182",,"0.5323155",,,,,
"SOBHA HEARTLAND","3 B/R","Flat","2409765.0","143.15","16833.846","135000.0","178.0","758.4269662921348","61","0.04505369596867233","0.028191686","0.10299945","0.09371281","0.08006692","0.0569731",
"MBR DISTRICT 1","4 B/R","Flat","6621799.5","307.66","21523.107",,,,"26",,"0.046891093",,,,,
"TILAL AL GHAF","3 B/R","Villa","1750000.0","140.43","12461.726",,,,"77",,"0.20689654","0.26080692",,,,
"EMAAR SOUTH","1 B/R","Flat","550000.0","60.44","9099.934","30000.0","60.0","500.0","7","0.05494545590348144","0.094904065","-0.22023058","-0.21004641","-0.20891935","-0.20323539",
"MEYDAN AVENUE","1 B/R","Flat","810000.0","75.61","10712.868","55000.0","76.0","723.6842105263158","79","0.06755279720084623","-0.15526402","-0.094350636","0.07452881","-0.09521681","-0.17414504","-0.18855733"
"DUBAI HEALTHCARE CITY - PHASE 1","Studio","Flat",,,,,,,,,,,,,,
"CITY WALK","3 B/R","Flat","4800000.0","212.34","22605.256","207000.0","215.86","958.9548781617715","60","0.04242176616479514","0.3753208","0.33588016","0.27221668","0.2976011","0.22448206","0.45175385"
"BUSINESS BAY","5 B/R","Flat",,,,,,,,,,,,,,
"DUBAI WATER CANAL","3 B/R","Flat","4612800.0","189.3","24367.67",,,,"86",,"-0.5464761",,,,,
"AL FURJAN","5 B/R","Villa","2600000.0","225.4","11535.049",,,,"3",,,,,,,
"Jumeirah First","4 B/R","Flat","1.7508E7","295.73","59202.65",,,,"3",,,,,,,
"INTERNATIONAL CITY PH 1","1 B/R","Flat","313000.0","68.0","4602.9414","30000.0","68.0","441.1764705882353","557","0.09584664058273559","0.04333341","0.00967741","-0.051515162","-0.40668088","-0.31956518","-0.35794866"
"THE GREENS","2 B/R","Flat","1430000.0","124.77","11461.089","95000.0","125.0","760.0","165","0.06631132598368035","0.070956945","0.21627307","0.1533382","-0.05818504","-0.18954605","-0.20319963"
"MEYDAN AVENUE","3 B/R","Flat","2500000.0","171.81","14550.958","147000.0","260.23","564.8849095031318","8","0.038821149040485274","0.45622265","0.2900144",,"0.6810334","0.27074444","0.34743226"
"MUDON","1 B/R","Flat",,,,,,,,,,,,,,
"THE GREENS","1 B/R","Flat","775000.0","71.31","10868.041","60950.0","74.0","823.6486486486486","148","0.07578630292841991","0.024041057","0.17033267","0.0333333","-0.15685034","-0.2613684","-0.2858709"
"INTERNATIONAL CITY PH 1","3 B/R","Flat","1508000.0","221.47","6809.049","65000.0","124.0","524.1935483870968","38","0.07698484202696537","0.5080681","0.4973718","0.27933395","-0.0017521977","0.24026823","-0.081204"
"LIVING LEGENDS","Studio","Flat","700000.0","53.19","13160.369","26500.0","52.87","501.22943067902406","4","0.038086274429170015","0.14926004","0.5338032","1.5508425","0.36530292","0.17753959","0.7762176"
"DUBAI MARINA","2 B/R","Flat","2000000.0","125.14","15982.101","93500.0","123.15","759.2367032074706","821","0.047505438920558155","0.24021089","0.5182996","0.27721894","0.10264504","0.08030367","-0.08158898"
"JUMEIRAH VILLAGE TRIANGLE","2 B/R","Flat","1279000.0","135.22","9458.66","57000.0","103.0","553.3980582524272","75","0.058507024156773224","0.8370683","0.89793205","0.26173127","-0.07501304","0.020151138","-0.14837223"
"LA MER","4 B/R","Flat","8250000.0","304.27","27114.078","300000.0","292.0","1027.3972602739725","7","0.03789165375778279","0.12734258","0.13341653","0.25800776",,,
"AL BARARI","Studio","Flat","727563.06","51.24","14199.122",,,,"6",,"0.2807939",,"0.10678661",,,
"DUBAI SPORTS CITY","4 B/R","Flat",,,,,,,,,,,,,,
"Al Yufrah 1","4 B/R","Villa","1961888.0","257.52","7618.391",,,,"169",,,,,,,
